Percent income below poverty level,Lake View,12.2%,13.0%,10.6%,8.7%,11.7%,12.2%,11.6%,11.0%,9.9%,9.2%
Total, Lincoln Park ,"  66,409 ","  55,711 ","  59,225 ","  61,523 ","  61,618 ","  62,780 ","  62,711 ","  63,645 ","63,889","64,203"
Income below poverty level, Lincoln Park ,"  10,263 ","  7,452 ","  5,907 ","  5,305 ","  7,529 ","  7,962 ","  7,862 ","  6,882 ","6,759","6,699"
Percent income below poverty level,Lincoln Park,15.5%,13.4%,10.0%,8.6%,12.2%,12.7%,12.5%,11.0%,10.6%,10.4%
Total, Lincoln Park ,"  68,466 ","  64,513 ","  60,338 ","  71,063 ","  78,942 ","  81,704 ","  82,732 ","  83,937 ","84,465","86,892"
Income below poverty level, Lincoln Park ,"  15,888 ","  16,152 ","  12,087 ","  10,792 ","  10,677 ","  10,693 ","  10,575 ","  10,379 ","9,807","8,904"
Percent income below poverty level,Lincoln Park,23.2%,25.0%,20.0%,15.2%,13.5%,13.1%,12.8%,12.0%,11.6%,10.2%
Total, Edison Park ,"  13,161 ","  12,442 ","  11,426 ","  11,178 ","  11,135 ","  10,884 ","  10,993 ","  11,356 ","11,150","11,753"
Income below poverty level, Edison Park ,  447 ,  248 ,  241 ,  270 ,  330 ,  351 ,  269 ,  221 ,173,315
Percent income below poverty level,Edison Park,3.4%,2.0%,2.1%,2.4%,3.0%,3.2%,2.4%,2.0%,1.6%,2.7%
Total, Norwood Park ,"  41,702 ","  40,323 ","  37,459 ","  37,125 ","  36,911 ","  36,492 ","  35,980 ","  35,600 ","35,508","36,393"
Income below poverty level, Norwood Park ,"  1,334 ","  1,387 ",  863 ,"  1,611 ","  1,938 ","  2,136 ","  2,150 ","  2,203 ","2,337","2,190"
Percent income below poverty level,Norwood Park,3.2%,3.4%,2.3%,4.3%,5.3%,5.9%,6.0%,6.0%,6.6%,6.0%
Total, Jefferson Park ,"  27,488 ","  24,560 ","  23,601 ","  25,832 ","  26,678 ","  27,110 ","  26,926 ","  27,207 ","26,746","26,760"
Income below poverty level, Jefferson Park ,"  1,213 ",  900 ,  886 ,"  1,270 ","  1,871 ","  2,078 ","  2,383 ","  2,560 ","2,296","2,098"
Percent income below poverty level,Jefferson Park,4.4%,3.7%,3.8%,4.9%,7.0%,7.7%,8.9%,9.0%,8.6%,7.8%
Total, Forest Glen ,"  20,531 ","  18,970 ","  17,651 ","  18,141 ","  18,542 ","  18,710 ","  18,478 ","  18,437 ","18,622","18,991"
Income below poverty level, Forest Glen ,  768 ,  440 ,  231 ,  463 ,"  1,267 ","  1,158 ",  920 ,  781 ,752,835
Percent income below poverty level,Forest Glen,3.7%,2.3%,1.3%,2.6%,6.8%,6.0%,5.0%,4.0%,4.0%,4.4%
Total, North Park  ,"  15,341 ","  14,284 ","  15,359 ","  17,570 ","  18,260 ","  18,714 ","  17,524 ","  17,828 ","18,139","18,214"
Income below poverty level, North Park  ,  735 ,  869 ,"  1,129 ","  1,841 ","  2,274 ","  2,198 ","  2,169 ","  2,498 ","2,410","2,615"
Percent income below poverty level,North Park ,4.8%,6.1%,7.4%,10.5%,12.5%,11.7%,12.4%,14.0%,13.3%,14.4%
Total, Albany Park ,"  46,810 ","  45,597 ","  48,993 ","  56,990 ","  52,900 ","  52,881 ","  51,363 ","  50,390 ","49,864","50,243"
Income below poverty level, Albany Park ,"  3,673 ","  5,830 ","  8,563 ","  10,059 ","  11,305 ","  11,031 ","  10,011 ","  9,817 ","9,371","9,309"
Percent income below poverty level,Albany Park,7.8%,12.8%,17.5%,17.7%,21.4%,20.9%,19.5%,19.0%,18.8%,18.5%
Total, Portage Park ,"  63,389 ","  57,227 ","  56,320 ","  65,007 ","  63,447 ","  63,464 ","  64,356 ","  64,772 ","64,410","64,219"
Income below poverty level, Portage Park ,"  3,068 ","  2,785 ","  3,152 ","  5,194 ","  8,609 ","  8,618 ","  9,390 ","  8,345 ","8,430","7,908"
Percent income below poverty level,Portage Park,4.8%,4.9%,5.6%,8.0%,13.6%,13.6%,14.6%,13.0%,13.1%,12.3%
Total, Irving Park ,"  54,638 ","  49,058 ","  49,651 ","  58,023 ","  56,150 ","  56,382 ","  56,074 ","  56,079 ","54,957","54,129"
Income below poverty level, Irving Park ,"  3,431 ","  4,352 ","  5,069 ","  6,541 ","  8,080 ","  8,192 ","  7,798 ","  7,183 ","5,908","5,876"
Percent income below poverty level,Irving Park,6.3%,8.9%,10.2%,11.3%,14.4%,14.5%,13.9%,13.0%,10.8%,10.9%
Total, Dunning ,"  42,243 ","  37,317 ","  36,453 ","  41,912 ","  41,996 ","  42,292 ","  42,926 ","  42,855 ","43,247","43,462"
Income below poverty level, Dunning ,"  1,843 ","  1,480 ","  1,645 ","  2,166 ","  4,105 ","  4,417 ","  4,716 ","  4,863 ","4,528","4,022"
Percent income below poverty level,Dunning,4.4%,4.0%,4.5%,5.2%,9.8%,10.4%,11.0%,11.0%,10.5%,9.3%
Total, Montclare ,"  11,629 ","  10,704 ","  10,396 ","  12,434 ","  12,204 ","  12,114 ","  12,660 ","  12,823 ","12,831","13,697"
Income below poverty level, Montclare ,  597 ,  593 ,  570 ,  693 ,"  1,622 ","  1,699 ","  1,855 ","  1,945 ","1,741","1,905"
Percent income below poverty level,Montclare,5.1%,5.5%,5.5%,5.6%,13.3%,14.0%,14.7%,15.0%,13.6%,13.9%
Total, Belmont Cragin ,"  57,298 ","  53,051 ","  56,391 ","  77,438 ","  77,540 ","  77,930 ","  78,675 ","  78,752 ","77,585","79,451"
Income below poverty level, Belmont Cragin ,"  3,587 ","  3,175 ","  4,735 ","  8,705 ","  15,765 ","  16,053 ","  16,567 ","  16,412 ","15,013","15,962"
Percent income below poverty level,Belmont Cragin,6.3%,6.0%,8.4%,11.2%,20.3%,20.6%,21.1%,21.0%,19.4%,20.1%
Total, Hermosa ,"  19,867 ","  19,444 ","  22,977 ","  26,666 ","  25,046 ","  25,209 ","  24,758 ","  25,429 ","24,391","24,092"
Income below poverty level, Hermosa ,"  1,289 ","  2,280 ","  4,007 ","  4,457 ","  4,995 ","  5,116 ","  5,453 ","  5,648 ","5,251","5,099"
Percent income below poverty level,Hermosa,6.5%,11.7%,17.4%,16.7%,19.9%,20.3%,22.0%,22.0%,21.5%,21.2%
Total, Avondale ,"  35,727 ","  33,486 ","  35,519 ","  42,941 ","  41,433 ","  40,079 ","  38,871 ","  39,469 ","38,035","37,183"
Income below poverty level, Avondale ,"  2,932 ","  3,919 ","  6,166 ","  7,476 ","  7,019 ","  7,228 ","  7,455 ","  8,349 ","7,747","7,291"
Percent income below poverty level,Avondale,8.2%,11.7%,17.4%,17.4%,16.9%,18.0%,19.2%,21.0%,20.4%,19.6%
Total, Logan Square ,"  88,077 ","  84,226 ","  81,792 ","  82,052 ","  73,411 ","  73,628 ","  73,712 ","  74,143 ","74,178","73,378"
Income below poverty level, Logan Square ,"  10,045 ","  17,531 ","  21,575 ","  16,249 ","  15,065 ","  15,000 ","  14,292 ","  13,258 ","12,593","10,894"
Percent income below poverty level,Logan Square,11.4%,20.8%,26.4%,19.8%,20.5%,20.4%,19.4%,18.0%,17.0%,14.8%
Total, Humboldt Park ,"  71,124 ","  70,441 ","  66,969 ","  65,417 ","  53,973 ","  52,438 ","  54,206 ","  54,674 ","55,807","55,947"
Income below poverty level, Humboldt Park ,"  10,350 ","  19,919 ","  22,660 ","  20,352 ","  18,503 ","  18,181 ","  18,641 ","  17,396 ","17,018","16,834"
Percent income below poverty level,Humboldt Park,14.6%,28.3%,33.8%,31.1%,34.3%,34.7%,34.4%,32.0%,30.5%,30.1%
Total, West Town ,"  124,594 ","  96,006 ","  86,925 ","  86,877 ","  83,726 ","  83,190 ","  83,855 ","  85,035 ","83,884","82,979"
Income below poverty level, West Town ,"  26,857 ","  29,866 ","  27,769 ","  18,025 ","  14,326 ","  13,304 ","  13,250 ","  13,286 ","12,597","10,755"
Percent income below poverty level,West Town,21.6%,31.1%,31.9%,20.7%,17.1%,16.0%,15.8%,16.0%,15.0%,13.0%
Total, Austin ,"  127,541 ","  136,712 ","  112,828 ","  115,505 ","  97,028 ","  96,869 ","  98,499 ","  96,562 ","96,533","94,251"
Income below poverty level, Austin ,"  12,386 ","  32,736 ","  29,023 ","  27,852 ","  29,702 ","  30,196 ","  31,696 ","  29,529 ","29,259","27,499"
Percent income below poverty level,Austin,9.7%,23.9%,25.7%,24.1%,30.6%,31.2%,32.2%,31.0%,30.3%,29.2%
Total, West Garfield Park ,"  47,802 ","  33,648 ","  23,943 ","  22,743 ","  19,268 ","  18,630 ","  18,704 ","  17,577 ","17,339","17,095"
Income below poverty level, West Garfield Park ,"  12,215 ","  13,256 ","  9,761 ","  8,161 ","  8,432 ","  8,814 ","  8,999 ","  8,327 ","8,193","7,489"
Percent income below poverty level,West Garfield Park,25.6%,39.4%,40.8%,35.9%,43.8%,47.3%,48.1%,47.0%,47.3%,43.8%
Total, East Garfield Park ,"  51,532 ","  31,410 ","  23,703 ","  20,407 ","  20,918 ","  20,280 ","  19,862 ","  20,277 ","19,818","19,530"
Income below poverty level, East Garfield Park ,"  17,453 ","  13,523 ","  11,407 ","  7,179 ","  9,499 ","  8,606 ","  8,592 ","  9,708 ","8,479","8,548"
Percent income below poverty level,East Garfield Park,33.9%,43.1%,48.1%,35.2%,45.4%,42.4%,43.3%,48.0%,42.8%,43.8%
Total, Near West Side ,"  76,913 ","  56,431 ","  43,261 ","  43,007 ","  51,578 ","  52,694 ","  55,224 ","  57,540 ","58,111","58,279"
Income below poverty level, Near West Side ,"  28,808 ","  29,299 ","  23,583 ","  16,149 ","  12,999 ","  13,323 ","  14,502 ","  14,425 ","14,315","13,885"
Percent income below poverty level,Near West Side,37.5%,51.9%,54.5%,37.5%,25.2%,25.3%,26.3%,25.0%,24.6%,23.8%
Total, North Lawndale ,"  94,195 ","  60,855 ","  47,071 ","  40,918 ","  35,476 ","  35,605 ","  35,050 ","  34,696 ","34,915","35,411"
Income below poverty level, North Lawndale ,"  28,631 ","  26,165 ","  22,757 ","  18,485 ","  16,075 ","  15,876 ","  15,840 ","  16,452 ","15,643","15,018"
Percent income below poverty level,North Lawndale,30.4%,43.0%,48.3%,45.2%,45.3%,44.6%,45.2%,47.0%,44.8%,42.4%
Total, South Lawndale ,"  59,502 ","  70,329 ","  75,761 ","  79,393 ","  62,100 ","  61,830 ","  64,668 ","  65,892 ","65,295","65,511"
Income below poverty level, South Lawndale ,"  8,345 ","  15,212 ","  18,146 ","  21,057 ","  20,422 ","  22,302 ","  23,970 ","  24,076 ","22,709","22,010"
Percent income below poverty level,South Lawndale,14.0%,21.6%,24.0%,26.5%,32.9%,36.1%,37.1%,37.0%,34.8%,33.6%
Total, Lower West Side ,"  44,424 ","  44,663 ","  45,492 ","  43,914 ","  36,565 ","  35,338 ","  34,975 ","  34,404 ","32,970","32,877"
Income below poverty level, Lower West Side ,"  7,870 ","  11,814 ","  12,640 ","  11,841 ","  9,983 ","  9,620 ","  10,141 ","  9,846 ","8,883","8,005"
Percent income below poverty level,Lower West Side,17.7%,26.5%,27.8%,27.0%,27.3%,27.2%,29.0%,29.0%,26.9%,24.3%
Total, Loop ,"  4,787 ","  5,848 ","  11,020 ","  14,733 ","  23,559 ","  25,328 ","  27,164 ","  29,511 ","31,019","31,910"
Income below poverty level, Loop ,"  1,093 ","  1,198 ","  1,108 ","  1,754 ","  3,414 ","  3,799 ","  3,720 ","  4,439 ","4,466","4,231"
Percent income below poverty level,Loop,22.8%,20.5%,10.1%,11.9%,14.5%,15.0%,13.7%,15.0%,14.4%,13.3%
Total, Near South Side ,"  8,405 ","  7,217 ","  6,667 ","  9,461 ","  20,061 ","  20,864 ","  21,835 ","  22,201 ","22,996","23,427"
Income below poverty level, Near South Side ,"  3,261 ","  3,135 ","  4,167 ","  3,058 ","  2,525 ","  2,182 ","  2,153 ","  2,295 ","2,438","2,177"
Percent income below poverty level,Near South Side,38.8%,43.4%,62.5%,32.3%,12.6%,10.5%,9.9%,10.0%,10.6%,9.3%
Total, Armour Square ,"  13,018 ","  12,460 ","  10,785 ","  12,028 ","  13,710 ","  14,119 ","  13,849 ","  14,006 ","13,634","13,395"
Income below poverty level, Armour Square ,"  3,031 ","  3,404 ","  3,885 ","  3,746 ","  5,147 ","  5,296 ","  5,168 ","  5,160 ","4,865","5,031"
Percent income below poverty level,Armour Square,23.3%,27.3%,36.0%,31.1%,37.5%,37.5%,37.3%,37.0%,35.7%,37.6%
Total, Douglas ,"  42,600 ","  33,107 ","  28,732 ","  23,514 ","  16,603 ","  16,649 ","  16,884 ","  17,822 ","18,008","18,242"
Income below poverty level, Douglas ,"  14,333 ","  14,618 ","  14,189 ","  9,699 ","  5,361 ","  5,815 ","  6,229 ","  7,040 ","7,024","7,143"
Percent income below poverty level,Douglas,33.6%,44.2%,49.4%,41.2%,32.3%,34.9%,36.9%,40.0%,39.0%,39.2%
Total, Oakland ,"  18,174 ","  16,668 ","  8,125 ","  6,058 ","  6,233 ","  6,225 ","  6,445 ","  6,409 ","6,466","6,645"
Income below poverty level, Oakland ,"  7,813 ","  10,933 ","  5,878 ","  3,178 ","  2,530 ","  2,536 ","  2,500 ","  2,131 ","2,035","1,970"
Percent income below poverty level,Oakland,43.0%,65.6%,72.3%,52.5%,40.6%,40.7%,38.8%,33.0%,31.5%,29.6%
Total, Fuller Park ,"  7,355 ","  5,816 ","  4,313 ","  3,396 ","  2,924 ","  2,798 ","  2,533 ","  2,437 ","2,364","2,346"
Income below poverty level, Fuller Park ,"  2,149 ","  2,475 ","  2,122 ","  1,174 ","  1,203 ","  1,075 ",  927 ,  814 ,788,744
Percent income below poverty level,Fuller Park,29.2%,42.6%,49.2%,34.6%,41.1%,38.4%,36.6%,33.0%,33.3%,31.7%
Total, Grand Boulevard ,"  79,353 ","  53,050 ","  35,413 ","  27,213 ","  22,761 ","  22,367 ","  22,272 ","  22,425 ","22,323","22,616"
Income below poverty level, Grand Boulevard ,"  31,547 ","  29,880 ","  22,928 ","  12,762 ","  7,010 ","  7,112 ","  7,588 ","  7,957 ","7,700","7,413"
Percent income below poverty level,Grand Boulevard,39.8%,56.3%,64.7%,46.9%,30.8%,31.8%,34.1%,35.0%,34.5%,32.8%
Total, Kenwood ,"  26,394 ","  21,587 ","  17,934 ","  18,197 ","  17,917 ","  17,752 ","  17,997 ","  17,433 ","16,928","17,024"
Income below poverty level, Kenwood ,"  6,886 ","  5,646 ","  4,763 ","  4,368 ","  4,318 ","  4,600 ","  4,232 ","  3,891 ","3,719","3,856"
Percent income below poverty level,Kenwood,26.1%,26.2%,26.6%,24.0%,24.1%,25.9%,23.5%,22.0%,22.0%,22.7%
Total, Washington Park ,"  45,688 ","  31,795 ","  19,319 ","  14,091 ","  11,078 ","  11,428 ","  11,546 ","  11,954 ","11,723","11,329"
Income below poverty level, Washington Park ,"  15,061 ","  15,670 ","  11,278 ","  7,276 ","  4,899 ","  5,602 ","  5,550 ","  5,837 ","5,193","4,735"
Percent income below poverty level,Washington Park,33.0%,49.3%,58.4%,51.6%,44.2%,49.0%,48.1%,49.0%,44.3%,41.8%
Total, Hyde Park ,"  31,467 ","  28,712 ","  26,698 ","  26,857 ","  23,930 ","  24,315 ","  24,047 ","  24,074 ","23,954","24,306"
Income below poverty level, Hyde Park ,"  3,893 ","  4,700 ","  4,867 ","  4,428 ","  4,956 ","  5,221 ","  5,323 ","  5,196 ","5,325","5,633"
Percent income below poverty level,Hyde Park,12.4%,16.4%,18.2%,16.5%,20.7%,21.5%,22.1%,22.0%,22.2%,23.2%
Total, Woodlawn ,"  52,806 ","  35,200 ","  26,360 ","  26,187 ","  23,433 ","  23,193 ","  24,179 ","  25,117 ","24,669","23,834"
Income below poverty level, Woodlawn ,"  15,535 ","  13,743 ","  9,744 ","  10,323 ","  7,576 ","  8,149 ","  9,139 ","  10,062 ","9,814","9,061"
Percent income below poverty level,Woodlawn,29.4%,39.0%,37.0%,39.4%,32.3%,35.1%,37.8%,40.0%,39.8%,38.0%
Total, South Shore ,"  79,827 ","  77,165 ","  60,759 ","  60,732 ","  46,731 ","  48,568 ","  47,892 ","  48,157 ","47,590","47,530"
Income below poverty level, South Shore ,"  8,715 ","  17,981 ","  16,611 ","  16,431 ","  14,242 ","  15,957 ","  16,987 ","  17,631 ","18,023","18,429"
Percent income below poverty level,South Shore,10.9%,23.3%,27.3%,27.1%,30.5%,32.9%,35.5%,37.0%,37.9%,38.8%
Total,Chatham,"47,103","40,565","36,461","37,148","33,097","31,694","  31,348 ","  31,226 ","30,831","30,978"
Income below poverty level,Chatham,"4,389","5,787","5,382","6,562","9,642","8,861","  8,292 ","  8,650 ","9,022","8,271"
Percent income below poverty level,Chatham,9.3%,14.3%,14.8%,17.7%,29.1%,28.0%,26.5%,28.0%,29.3%,26.7%
Total, Avalon Park ,"  14,311 ","  13,730 ","  11,656 ","  11,082 ","  9,512 ","  9,887 ","  10,028 ","  9,793 ","9,808","9,999"
Income below poverty level, Avalon Park ,  690 ,"  1,494 ","  1,571 ",  935 ,"  1,784 ","  1,837 ","  1,818 ","  2,070 ","2,020","1,919"
Percent income below poverty level,Avalon Park,4.8%,10.9%,13.5%,8.4%,18.8%,18.6%,18.1%,21.0%,20.6%,19.2%
Total, South Chicago ,"  45,483 ","  46,309 ","  40,360 ","  38,267 ","  29,403 ","  28,981 ","  28,475 ","  27,968 ","27,465","28,124"
Income below poverty level, South Chicago ,"  5,347 ","  7,886 ","  10,146 ","  11,369 ","  9,884 ","  9,929 ","  9,573 ","  9,281 ","8,516","8,468"
Percent income below poverty level,South Chicago,11.8%,17.0%,25.1%,29.7%,33.6%,34.3%,33.6%,33.0%,31.0%,30.10%
Total, Burnside ,"  3,176 ","  3,938 ","  3,413 ","  3,258 ","  3,508 ","  2,837 ","  2,618 ","  2,601 ","2,442","2,254"
Income below poverty level, Burnside ,  252 ,  725 ,  735 ,  949 ,"  1,668 ","  1,245 ",  836 ,  929 ,800,396
Percent income below poverty level,Burnside,7.9%,18.4%,21.5%,29.1%,47.5%,43.9%,31.9%,36.0%,32.8%,17.6%
Total, Calumet Heights ,"  20,036 ","  20,447 ","  17,350 ","  15,946 ","  14,352 ","  13,850 ","  13,393 ","  13,726 ","13,299","13,180"
Income below poverty level, Calumet Heights ,  942 ,"  1,383 ","  1,347 ","  1,902 ","  2,013 ","  1,954 ","  2,034 ","  1,697 ","2,243","2,109"
Percent income below poverty level,Calumet Heights,4.7%,6.8%,7.8%,11.9%,14.0%,14.1%,15.2%,12.0%,16.9%,16.0%
Total, Roseland ,"  62,291 ","  63,718 ","  55,790 ","  51,774 ","  44,569 ","  43,817 ","  43,502 ","  41,844 ","41,764","41,899"
Income below poverty level, Roseland ,"  4,446 ","  11,329 ","  10,499 ","  9,097 ","  10,390 ","  10,647 ","  11,644 ","  11,265 ","12,491","11,252"
Percent income below poverty level,Roseland,7.1%,17.8%,18.8%,17.6%,23.3%,24.3%,26.8%,27.0%,29.9%,26.9%
Total, Pullman ,"  10,909 ","  10,279 ","  9,317 ","  8,883 ","  7,249 ","  6,922 ","  6,927 ","  6,469 ","6,573","6,560"
Income below poverty level, Pullman ,  796 ,"  1,484 ","  1,742 ","  1,990 ","  1,824 ","  1,752 ","  1,822 ","  1,552 ","1,618","1,407"
Percent income below poverty level,Pullman,7.3%,14.4%,18.7%,22.4%,25.2%,25.3%,26.3%,24.0%,24.6%,21.4%
Total, South Deering ,"  19,248 ","  19,327 ","  17,703 ","  16,911 ","  16,438 ","  15,733 ","  15,556 ","  15,261 ","14,551","14,550"
Income below poverty level, South Deering ,"  1,429 ","  2,591 ","  3,254 ","  3,311 ","  5,211 ","  4,982 ","  4,222 ","  4,202 ","4,351","4,204"
Percent income below poverty level,South Deering,7.4%,13.4%,18.4%,19.6%,31.7%,31.7%,27.1%,28.0%,29.9%,28.9%
Total, East Side ,"  24,629 ","  21,277 ","  20,381 ","  23,657 ","  23,480 ","  23,497 ","  23,710 ","  23,794 ","22,994","23,750"
Income below poverty level, East Side ,"  1,334 ","  1,353 ","  2,640 ","  2,923 ","  5,639 ","  5,544 ","  5,332 ","  5,174 ","4,670","4,975"
Percent income below poverty level,East Side,5.4%,6.4%,13.0%,12.4%,24.0%,23.6%,22.5%,22.0%,20.3%,20.9%
Total, West Pullman ,"  40,266 ","  44,748 ","  39,546 ","  36,147 ","  30,605 ","  29,537 ","  27,962 ","  27,804 ","27,450","27,639"
Income below poverty level, West Pullman ,"  2,711 ","  6,794 ","  7,648 ","  7,949 ","  9,213 ","  10,400 ","  10,022 ","  9,540 ","8,526","8,030"
Percent income below poverty level,West Pullman,6.7%,15.2%,19.3%,22.0%,30.1%,35.2%,35.8%,34.0%,31.1%,29.1%
Total, Riverdale ,"  14,991 ","  13,513 ","  10,802 ","  9,744 ","  6,793 ","  6,904 ","  7,092 ","  6,978 ","7,297","7,293"
Income below poverty level, Riverdale ,"  5,831 ","  6,388 ","  6,799 ","  5,487 ","  3,962 ","  4,309 ","  4,513 ","  4,501 ","4,798","4,588"
Percent income below poverty level,Riverdale,38.9%,47.3%,62.9%,56.3%,58.3%,62.4%,63.6%,65.0%,65.8%,62.9%
Total, Hegewisch ,"  11,323 ","  11,546 ","  10,104 ","  9,761 ","  10,062 ","  9,809 ","  9,326 ","  8,940 ","9,086","9,320"
Income below poverty level, Hegewisch ,  503 ,  600 ,  783 ,"  1,037 ","  1,869 ","  1,624 ","  1,594 ","  1,585 ","1,453","1,479"
Percent income below poverty level,Hegewisch,4.4%,5.2%,7.7%,10.6%,18.6%,16.6%,17.1%,18.0%,16.0%,15.9%
Total, Garfield Ridge ,"  42,981 ","  37,854 ","  33,911 ","  35,840 ","  33,811 ","  34,534 ","  34,536 ","  35,333 ","35,246","36,134"
Income below poverty level, Garfield Ridge ,"  1,999 ","  2,707 ","  3,218 ","  3,616 ","  2,866 ","  2,722 ","  2,754 ","  2,677 ","2,715","2,535"
Percent income below poverty level,Garfield Ridge,4.7%,7.2%,9.5%,10.1%,8.5%,7.9%,8.0%,8.0%,7.7%,7.0%
Total, Archer Heights ,"  11,126 ","  9,708 ","  9,202 ","  12,638 ","  13,352 ","  14,063 ","  13,961 ","  13,227 ","13,243","13,140"
Income below poverty level, Archer Heights ,  515 ,  501 ,  397 ,  813 ,"  1,854 ","  2,159 ","  2,122 ","  2,158 ","2,317","2,451"
Percent income below poverty level,Archer Heights,4.6%,5.2%,4.3%,6.4%,13.9%,15.4%,15.2%,16.0%,17.5%,18.7%
Total, Brighton Park  ,"  35,399 ","  30,626 ","  32,139 ","  44,699 ","  43,782 ","  43,221 ","  43,797 ","  43,932 ","43,976","44,649"
Income below poverty level, Brighton Park  ,"  2,550 ","  3,148 ","  4,054 ","  7,721 ","  11,226 ","  11,747 ","  11,912 ","  12,181 ","11,390","10,905"
Percent income below poverty level,Brighton Park ,7.2%,10.3%,12.6%,17.3%,25.6%,27.2%,27.2%,28.0%,25.9%,24.4%
Total, McKinley Park ,"  15,695 ","  13,239 ","  13,226 ","  15,957 ","  16,434 ","  16,538 ","  16,449 ","  16,331 ","16,058","15,719"
Income below poverty level, McKinley Park ,"  1,550 ","  1,536 ","  1,446 ","  2,095 ","  3,291 ","  3,819 ","  4,034 ","  4,377 ","3,910","3,947"
Percent income below poverty level,McKinley Park,9.9%,11.6%,10.9%,13.1%,20.0%,23.1%,24.5%,27.0%,24.3%,25.1%
Total, Bridgeport ,"  35,179 ","  30,864 ","  29,790 ","  33,635 ","  32,396 ","  32,545 ","  31,844 ","  33,795 ","32,713","33,554"
Income below poverty level, Bridgeport ,"  4,084 ","  4,856 ","  4,342 ","  6,085 ","  6,587 ","  7,157 ","  6,560 ","  7,104 ","6,667","6,201"
Percent income below poverty level,Bridgeport,11.6%,15.7%,14.6%,18.1%,20.3%,22.0%,20.6%,21.0%,20.4%,18.5%
Total, New City ,"  60,546 ","  55,658 ","  53,000 ","  51,339 ","  41,778 ","  41,388 ","  41,259 ","  40,778 ","40,773","39,279"
Income below poverty level, New City ,"  7,494 ","  13,867 ","  18,072 ","  17,687 ","  13,669 ","  14,423 ","  14,681 ","  13,767 ","13,678","12,561"
Percent income below poverty level,New City,12.4%,24.9%,34.1%,34.5%,32.7%,34.8%,35.6%,34.0%,33.5%,32.0%
Total, West Elsdon ,"  14,031 ","  12,797 ","  12,245 ","  15,894 ","  18,901 ","  19,397 ","  19,027 ","  19,102 ","19,827","19,155"
Income below poverty level, West Elsdon ,  580 ,  605 ,  656 ,"  1,093 ","  3,393 ","  3,508 ","  3,067 ","  3,608 ","2,842","2,090"
Percent income below poverty level,West Elsdon,4.1%,4.7%,5.4%,6.9%,18.0%,18.1%,16.1%,19.0%,14.3%,10.9%
Total, Gage Park  ,"  26,670 ","  24,430 ","  26,881 ","  38,937 ","  39,211 ","  39,158 ","  39,907 ","  40,791 ","40,453","40,385"
Income below poverty level, Gage Park  ,"  1,302 ","  1,841 ","  3,063 ","  7,413 ","  9,529 ","  10,046 ","  9,776 ","  9,306 ","8,392","7,471"
Percent income below poverty level,Gage Park ,4.9%,7.5%,11.4%,19.0%,24.3%,25.7%,24.5%,23.0%,20.7%,18.5%
